Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,12.9,13.25,13.5,12.9,13.15,475241,6246692.9,1259
2017-01-03,13.15,13.15,13.25,13.0,13.15,435204,5705729.4,928
2017-01-04,13.15,13.5,15.1,13.5,14.9,3811223,55532364.75,8057
2017-01-05,14.9,15.75,15.75,14.8,15.2,2270850,34532949.8,5503
2017-01-06,15.2,15.95,16.0,14.9,15.05,1075651,16449120.15,2188
2017-01-09,15.05,15.5,16.0,15.3,15.6,2092897,32723148.3,4123
2017-01-10,15.6,15.6,15.75,15.3,15.35,488119,7539367.75,1041
2017-01-11,15.35,15.65,15.75,15.15,15.3,585740,9064343.7,1255
2017-01-12,15.3,15.45,15.45,14.35,14.5,782882,11484386.55,2210
2017-01-13,14.5,14.25,14.4,13.65,14.0,680116,9507519.35,1420
2017-01-16,14.0,13.85,14.15,13.6,13.75,494541,6806082.15,1025
2017-01-17,13.75,13.8,14.1,13.7,13.85,326422,4524321.15,603
2017-01-18,13.85,13.95,14.0,13.7,13.9,250457,3474890.1,658
2017-01-19,13.9,13.95,14.5,13.85,14.3,353974,5018903.5,879
2017-01-20,14.3,14.4,14.4,13.55,13.65,413171,5741611.95,843
2017-01-23,13.65,13.8,13.95,13.55,13.75,175243,2406853.9,498
2017-01-24,13.75,13.85,13.9,13.55,13.7,280417,3828525.45,734
2017-01-25,13.7,13.7,13.85,13.45,13.5,330793,4497380.3,875
2017-01-27,13.5,13.25,14.1,13.25,14.0,505877,7031121.05,1040
2017-01-30,14.0,14.2,14.2,13.7,13.75,295872,4122390.5,1016
2017-01-31,13.75,13.85,14.1,13.6,13.7,261369,3606722.55,616
2017-02-01,13.7,13.8,14.0,13.55,13.75,262346,3630724.25,576
2017-02-02,13.75,13.85,14.05,13.6,13.7,261146,3593586.1,558
2017-02-03,13.7,13.8,14.0,13.5,13.6,429586,5883114.0,799
2017-02-06,13.6,13.85,14.05,13.7,13.8,300952,4181385.25,795
2017-02-07,13.8,13.8,13.95,13.7,13.8,198320,2737815.1,436
2017-02-08,13.8,13.9,14.4,13.3,13.6,966332,13248829.85,3193
2017-02-09,13.6,13.7,13.8,13.5,13.55,228259,3116329.95,533
2017-02-10,13.55,13.55,13.8,13.45,13.5,270400,3676753.85,608
2017-02-13,13.5,13.7,13.85,13.5,13.55,211859,2896531.5,737
2017-02-14,13.55,13.25,13.45,11.3,12.55,873965,11093043.7,2170
2017-02-15,12.55,12.55,12.75,12.3,12.4,270021,3371156.25,625
2017-02-16,12.4,12.4,12.75,12.3,12.65,205879,2579778.65,457
2017-02-17,12.65,12.7,12.9,12.6,12.8,179398,2288356.8,464
2017-02-20,12.8,12.95,12.95,12.45,12.6,277125,3497422.85,619
2017-02-21,12.6,12.65,12.85,12.55,12.6,205234,2607839.6,574
2017-02-22,12.6,12.6,12.75,12.5,12.55,124970,1576948.8,332
2017-02-23,12.55,12.5,12.65,12.4,12.45,135893,1699274.9,400
2017-02-27,12.45,12.4,12.65,12.3,12.45,155178,1933895.15,397
2017-02-28,12.45,12.55,12.55,12.3,12.35,118664,1470420.7,308
2017-03-01,12.35,12.35,12.65,12.3,12.5,186183,2324628.05,475
2017-03-02,12.5,12.65,12.7,12.35,12.5,136274,1713424.35,339
