Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-09-27,278.75,290.75,331.8,281.5,292.6,119164,36795031.2,4170
2024-09-30,292.6,302.0,320.0,282.05,294.35,86663,26421140.85,3801
2024-10-01,294.35,294.5,309.65,294.5,305.65,19878,6017001.3,2802
2024-10-03,305.65,304.8,311.45,286.5,289.55,56684,16697878.0,2732
2024-10-04,289.55,292.7,299.6,281.0,282.85,13410,3881758.5,2228
2024-10-07,282.85,278.5,289.7,270.0,270.45,12386,3447389.0,2330
2024-10-08,270.45,271.05,277.7,263.25,267.1,3171,856013.0,457
2024-10-09,267.1,274.45,276.95,259.3,262.15,9277,2461188.45,1616
2024-10-10,262.15,274.4,274.4,259.4,264.9,4043,1072470.8,872
2024-10-11,264.9,257.25,269.4,253.65,265.3,3386,894714.5,624
2024-10-14,265.3,259.95,286.0,259.95,269.55,12731,3464270.0,1074
2024-10-15,269.55,281.4,281.65,265.3,266.4,9739,2608563.25,630
2024-10-16,266.4,267.75,271.8,260.0,261.15,3119,829793.85,552
2024-10-17,261.15,273.4,273.5,252.0,259.2,1689,442592.65,335
2024-10-18,259.2,257.05,268.3,250.0,254.85,2583,659302.95,333
2024-10-21,254.85,254.25,267.4,253.8,260.25,2808,728263.1,190
2024-10-22,260.25,261.6,263.95,222.0,255.45,15051,3846576.0,441
2024-10-23,255.45,248.4,249.0,227.8,233.55,6549,1560961.05,449
2024-10-24,233.55,229.05,239.0,224.9,229.1,7543,1749610.45,1767
2024-10-25,229.1,234.95,237.95,225.05,227.25,8248,1895083.2,2219
2024-10-28,227.25,249.0,249.0,228.0,236.2,26189,6326139.25,1661
2024-10-29,236.2,238.0,249.0,236.05,244.3,7586,1850583.4,1221
2024-10-30,244.3,288.9,288.9,255.0,260.85,54060,14334690.4,2677
2024-10-31,260.85,271.0,278.0,265.2,267.8,6906,1860587.15,672
2024-11-01,267.8,275.0,281.2,262.55,273.35,3118,853756.6,177
2024-11-04,273.35,267.15,270.0,250.0,254.35,11270,2888205.45,1986
2024-11-05,254.35,263.4,270.85,241.0,248.3,7751,1981837.9,1034
2024-11-06,248.3,252.55,257.4,243.7,251.9,3956,989234.15,757
2024-11-07,251.9,253.0,254.8,244.4,246.35,3803,943129.55,1003
2024-11-08,246.35,248.75,254.4,238.85,247.8,1697,420910.0,477
2024-11-11,247.8,250.0,254.75,240.2,242.8,33794,8395559.2,678
2024-11-12,242.8,243.25,249.6,231.0,233.75,1671,396784.85,307
2024-11-13,233.75,238.45,239.95,225.5,230.75,2345,556466.4,186
2024-11-14,230.75,234.7,273.0,234.7,253.35,19157,4938437.35,975
2024-11-18,253.35,258.95,258.95,243.0,250.05,3781,947037.2,378
