Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,49.05,50.95,53.4,50.0,53.05,8319,425377.75,100
2017-01-03,53.05,55.8,55.8,53.0,53.85,11520,622522.1,178
2017-01-04,53.85,52.0,54.4,51.7,53.5,9639,513562.65,67
2017-01-05,53.5,52.65,55.15,52.65,54.9,6844,368561.15,50
2017-01-06,54.9,53.2,56.45,52.5,53.1,5257,280243.15,36
2017-01-09,53.1,55.4,55.5,53.1,53.6,2752,149513.35,37
2017-01-10,53.6,54.7,54.7,52.25,53.2,5879,314777.6,17
2017-01-11,53.2,52.0,54.45,50.0,51.5,18776,964549.5,74
2017-01-12,51.5,51.5,52.5,51.0,51.6,10005,519444.4,53
2017-01-13,51.6,50.5,51.0,49.55,49.9,2494,124793.0,27
2017-01-16,49.9,51.45,51.45,49.6,49.95,7106,354999.25,31
2017-01-17,49.95,51.9,51.9,49.8,50.3,5619,284918.1,18
2017-01-18,50.3,50.0,57.5,49.9,55.0,83436,4574567.6,700
2017-01-19,55.0,55.0,58.0,53.4,56.7,44972,2556828.5,478
2017-01-20,56.7,56.85,57.0,55.25,56.2,9690,543423.7,92
2017-01-23,56.2,56.0,58.05,55.35,55.95,7203,410150.25,129
2017-01-24,55.95,56.0,60.7,56.0,58.6,23782,1383476.35,185
2017-01-25,58.6,58.75,64.0,58.05,61.45,44176,2722256.1,524
2017-01-27,61.45,62.0,62.0,58.1,58.55,15935,950009.5,137
2017-01-30,58.55,59.95,60.05,56.0,58.65,2943,174345.8,33
2017-01-31,58.65,58.55,58.65,56.85,57.1,670,38529.05,30
2017-02-01,57.1,56.0,58.9,53.0,58.35,6923,393648.55,114
2017-02-02,58.35,58.65,58.95,55.0,55.45,8441,476181.5,127
2017-02-03,55.45,55.0,58.05,54.25,56.15,9169,523637.3,96
2017-02-06,56.15,56.05,57.8,54.1,57.8,8167,460834.4,72
2017-02-07,57.8,58.0,59.9,56.0,56.85,8523,488462.05,121
2017-02-08,56.85,58.35,61.9,57.5,60.95,38011,2292451.75,316
2017-02-09,60.95,61.5,65.2,60.0,64.7,88165,5618815.35,737
2017-02-10,64.7,65.0,68.0,60.05,62.15,377132,24833006.85,2934
2017-02-13,62.15,60.0,60.95,52.1,56.75,53983,3093718.6,686
2017-02-14,56.75,57.0,57.0,52.9,54.1,18145,996175.25,268
2017-02-15,54.1,53.6,55.7,51.65,52.45,21029,1118820.75,214
2017-02-16,52.45,51.0,55.1,50.0,53.55,21431,1137173.95,288
2017-02-17,53.55,52.8,54.8,52.8,53.45,19815,1062146.85,235
2017-02-20,53.45,55.35,55.75,53.0,54.3,6580,357034.95,116
2017-02-21,54.3,54.95,55.0,53.0,53.9,5608,300952.4,108
2017-02-22,53.9,53.35,60.0,53.0,55.85,17068,961613.85,273
2017-02-23,55.85,55.0,57.95,53.9,54.45,4045,224656.55,81
2017-02-27,54.45,58.95,59.25,54.2,56.85,5175,296150.9,83
