Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,160.05,161.25,165.5,159.5,162.8,113840,18491091.2,997
2017-01-03,162.8,162.5,167.0,162.5,165.8,114532,18913639.65,1650
2017-01-04,165.8,167.0,175.0,164.65,167.4,885839,150150797.4,10069
2017-01-05,167.4,169.4,171.8,166.5,167.25,254921,42904294.2,3728
2017-01-06,167.25,168.7,172.0,165.45,170.65,576733,97222382.7,5118
2017-01-09,170.65,171.85,173.9,167.3,167.9,605544,102521877.55,3720
2017-01-10,167.9,168.55,169.8,165.05,165.7,366742,61125929.25,2743
2017-01-11,165.7,166.6,168.9,163.75,164.3,310489,51493226.7,2870
2017-01-12,164.3,164.8,167.95,162.1,163.05,406164,67008771.2,3467
2017-01-13,163.05,163.85,165.8,162.5,164.35,97120,15901945.0,1202
2017-01-16,164.35,164.8,167.45,162.8,163.35,224403,36902037.65,2225
2017-01-17,163.35,164.7,166.45,162.0,162.4,247148,40480997.9,2071
2017-01-18,162.4,163.45,165.9,159.35,160.3,583062,94385992.2,3386
2017-01-19,160.3,160.1,161.9,159.0,159.9,130620,20949759.55,1800
2017-01-20,159.9,160.0,163.65,160.0,162.75,137632,22309398.95,1615
2017-01-23,162.75,163.05,165.95,160.7,162.35,516804,84415116.6,2966
2017-01-24,162.35,163.6,165.0,160.6,161.4,359539,58219353.05,2317
2017-01-25,161.4,162.05,163.6,160.4,162.2,218162,35327769.0,1390
2017-01-27,162.2,163.75,164.95,161.45,163.45,135125,22082942.75,1625
2017-01-30,163.45,162.6,163.4,161.0,161.15,230849,37397035.45,1466
2017-01-31,161.15,161.9,161.9,158.45,158.75,78857,12592281.6,1541
2017-02-01,158.75,158.5,162.9,157.0,159.2,112679,17948322.65,1650
2017-02-02,159.2,159.8,163.1,158.7,159.1,295880,47464260.3,2816
2017-02-03,159.1,160.0,161.1,158.5,159.15,318175,50784880.35,2091
2017-02-06,159.15,160.45,163.5,159.1,160.0,542222,87197127.2,4336
2017-02-07,160.0,161.0,163.85,159.95,162.0,126334,20499593.5,3756
2017-02-08,162.0,162.0,167.4,161.65,164.7,285743,47208122.1,4343
2017-02-09,164.7,164.95,167.0,164.15,165.2,156345,25914732.95,2903
2017-02-10,165.2,166.45,167.9,165.5,165.9,97599,16260271.85,3021
2017-02-13,165.9,167.6,167.6,162.8,163.2,76182,12550752.7,1470
2017-02-14,163.2,163.3,165.5,163.3,164.5,77892,12818321.8,1796
2017-02-15,164.5,166.0,168.35,161.6,162.2,170404,27964347.05,2363
2017-02-16,162.2,162.15,163.75,159.4,161.4,118143,19098778.95,2752
2017-02-17,161.4,162.85,165.5,162.35,164.9,71345,11719610.6,2353
2017-02-20,164.9,165.25,167.65,160.8,161.4,293919,47865669.5,2359
2017-02-21,161.4,162.0,163.9,160.85,161.2,183559,29745240.75,1351
2017-02-22,161.2,161.55,164.4,160.15,160.6,195301,31612065.35,1375
2017-02-23,160.6,161.0,161.9,160.0,160.1,51272,8240550.55,495
2017-02-27,160.1,160.3,161.3,159.0,159.7,63826,10214583.1,1440
2017-02-28,159.7,160.7,161.8,158.3,158.5,201295,32109961.6,2280
2017-03-01,158.5,159.45,161.3,158.4,158.75,242588,38778887.35,1928
2017-03-02,158.75,159.9,163.8,158.6,159.4,274369,44085377.75,3338
2017-03-03,159.4,160.5,161.4,157.0,157.55,156489,24703461.9,1394
2017-03-06,157.55,158.0,159.05,157.25,157.8,91557,14466017.5,1265
2017-03-07,157.8,158.35,158.35,156.1,157.15,99184,15603826.65,1775
2017-03-08,157.15,157.95,160.0,156.1,157.3,124945,19733416.5,4218
2017-03-09,157.3,157.9,157.95,155.2,155.85,89672,14000254.2,1543
2017-03-10,155.85,155.15,156.8,154.5,155.25,58130,9051958.65,872
2017-03-14,155.25,157.6,158.85,156.1,156.75,103127,16196490.15,1842
2017-03-15,156.75,158.3,158.95,155.0,155.4,78941,12311305.35,1382
2017-03-16,155.4,155.85,157.4,155.3,155.55,102008,15904879.3,2641
2017-03-17,155.55,156.3,158.0,155.1,155.65,139326,21675500.65,1710
2017-03-20,155.65,156.25,159.5,154.55,157.25,121221,18890607.85,2211
2017-03-21,157.25,157.1,159.4,155.0,155.9,131562,20605835.45,1965
2017-03-22,155.9,155.0,158.35,155.0,157.4,63459,9923060.75,1628
2017-03-23,157.4,158.4,158.4,154.0,154.95,464794,72237089.9,3321
2017-03-24,154.95,155.9,156.4,151.9,153.15,226034,35008851.2,3057
2017-03-27,153.15,153.85,153.85,150.55,152.8,105528,16083847.25,1323
2017-03-28,152.8,152.25,153.8,152.0,153.05,91243,13954384.1,732
2017-03-29,153.05,153.8,164.3,153.05,156.3,1004590,158213785.9,6965
2017-03-30,156.3,156.8,156.85,154.75,155.0,93838,14599311.75,1000
2017-03-31,155.0,155.0,155.9,151.95,153.05,138914,21324008.25,1173
2017-04-03,153.05,153.65,160.8,152.05,158.6,250955,39539581.65,2318
2017-04-05,158.6,159.0,161.2,157.0,159.8,400662,63567166.25,2067
2017-04-06,159.8,159.95,162.5,156.1,157.55,529904,83893364.75,2804
2017-04-07,157.55,157.9,160.9,156.0,157.4,150688,23960755.15,1628
2017-04-10,157.4,157.0,159.0,156.0,156.75,100260,15787737.1,1339
2017-04-11,156.75,157.05,169.0,156.95,167.9,536586,88566309.15,5218
