Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,10.9,10.9,10.9,10.4,10.55,1194,12607.65,10
2017-01-03,10.55,11.0,11.35,10.6,11.35,1482,16183.2,18
2017-01-04,11.35,11.25,12.2,11.25,12.0,3545,41067.65,28
2017-01-05,12.0,12.15,12.7,12.0,12.5,7210,88238.05,44
2017-01-06,12.5,13.0,13.0,11.4,12.0,4618,56248.5,25
2017-01-09,12.0,11.45,11.7,10.95,11.1,14423,159987.4,85
2017-01-10,11.1,11.1,11.7,11.0,11.5,3001,33888.6,19
2017-01-11,11.5,11.9,11.9,10.95,11.15,4636,51802.05,32
2017-01-12,11.15,11.35,11.45,10.9,11.1,12100,135405.85,40
2017-01-13,11.1,10.85,11.2,10.7,10.85,1449,15900.55,14
2017-01-16,10.85,10.7,11.3,10.7,11.25,5048,56532.3,18
2017-01-17,11.25,11.0,11.25,10.95,11.0,1476,16258.7,9
2017-01-18,11.0,11.0,11.0,10.7,10.7,1705,18647.2,17
2017-01-19,10.7,10.7,11.3,10.7,10.95,7542,83383.55,66
2017-01-20,10.95,11.3,11.3,10.65,10.7,4088,45012.7,22
2017-01-23,10.7,11.3,11.3,11.0,11.3,2424,27173.65,23
2017-01-24,11.3,11.3,12.25,11.0,11.65,16988,196156.25,96
2017-01-25,11.65,11.5,12.2,11.35,12.1,5052,59823.25,43
2017-01-27,12.1,11.45,12.0,11.2,11.3,2624,30078.45,23
2017-01-30,11.3,12.1,12.4,11.55,12.4,13443,164815.15,115
2017-01-31,12.4,12.45,12.45,11.3,11.6,11951,140741.85,108
2017-02-01,11.6,11.95,12.4,11.5,11.95,1989,23504.45,23
2017-02-02,11.95,12.25,12.5,11.5,11.75,12866,155102.9,78
2017-02-03,11.75,11.55,12.1,11.5,11.55,4435,51645.25,38
2017-02-06,11.55,11.7,12.15,11.7,11.7,1870,22092.8,27
2017-02-07,11.7,11.9,13.7,11.8,12.45,50256,648378.5,463
2017-02-08,12.45,13.2,13.4,12.5,12.55,34859,454893.75,174
2017-02-09,12.55,12.55,13.15,12.15,12.3,5301,66772.1,62
2017-02-10,12.3,12.45,13.15,11.85,12.15,6163,76243.2,73
2017-02-13,12.15,12.0,12.9,11.7,11.9,17808,219073.4,110
2017-02-14,11.9,12.65,12.65,11.65,12.3,1953,22954.2,18
2017-02-15,12.3,12.3,12.3,11.15,11.35,760,8651.85,18
2017-02-16,11.35,12.1,13.0,11.5,12.35,11355,141693.75,136
2017-02-17,12.35,13.25,13.25,11.65,12.35,2569,31575.25,47
2017-02-20,12.35,11.9,12.45,11.75,11.85,1695,20396.7,28
2017-02-21,11.85,13.85,13.85,12.05,12.6,6860,86970.55,54
2017-02-22,12.6,12.1,14.75,11.95,13.45,114641,1576874.9,520
2017-02-23,13.45,14.1,15.0,13.4,13.8,74569,1054281.05,382
2017-02-27,13.8,14.5,16.55,13.85,16.55,204141,3250884.15,872
2017-02-28,16.55,17.55,18.9,15.0,16.05,477867,8245835.35,2188
2017-03-01,16.05,16.0,16.85,15.8,16.2,41498,678582.4,369
2017-03-02,16.2,16.0,16.2,14.75,14.95,35016,536612.85,234
2017-03-03,14.95,14.8,14.8,13.75,14.25,33167,475805.75,200
2017-03-06,14.25,15.5,15.5,13.2,14.15,54566,775180.7,312
2017-03-07,14.15,14.1,16.5,14.05,15.35,146948,2296413.15,477
2017-03-08,15.35,15.4,15.55,14.2,14.75,20399,302680.85,175
2017-03-09,14.75,15.3,15.3,14.0,14.2,19597,283269.5,99
2017-03-10,14.2,14.1,14.5,14.05,14.1,9591,136564.65,35
2017-03-14,14.1,14.2,14.5,13.25,13.85,10254,143089.6,68
2017-03-15,13.85,13.7,14.7,13.25,14.2,14333,204237.8,143
2017-03-16,14.2,14.1,14.85,13.75,13.9,8928,125397.25,55
2017-03-17,13.9,13.9,14.8,13.45,14.25,9109,128869.35,56
2017-03-20,14.25,13.9,14.6,13.55,13.9,5013,70009.75,32
2017-03-21,13.9,14.5,16.0,14.1,15.25,129478,1978191.95,1009
2017-03-22,15.25,15.75,18.15,15.0,16.85,377071,6487850.75,1845
2017-03-23,16.85,16.95,16.95,16.05,16.05,3500,56345.0,22
2017-03-24,16.05,15.25,15.25,15.25,15.25,1966,29981.5,12
2017-03-27,15.25,14.75,15.55,14.5,14.55,23066,335799.5,50
