Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,50.65,50.65,51.5,49.55,50.3,6971,350950.65,210
2017-01-03,50.3,50.5,53.0,49.55,51.0,15559,790845.1,169
2017-01-04,51.0,50.45,56.1,50.45,56.1,51002,2780632.2,447
2017-01-05,56.1,58.95,58.95,52.95,54.6,36239,2003349.95,724
2017-01-06,54.6,54.5,54.9,50.05,53.1,29446,1532114.95,543
2017-01-09,53.1,52.1,54.0,51.05,53.35,6336,338052.75,94
2017-01-10,53.35,52.1,54.5,50.0,51.7,10029,524755.95,205
2017-01-11,51.7,53.25,54.5,52.1,52.85,9812,517383.15,164
2017-01-12,52.85,51.8,53.75,51.1,51.45,10024,522228.6,245
2017-01-13,51.45,51.4,53.4,50.55,51.25,8278,426726.55,175
2017-01-16,51.25,52.5,52.95,51.0,52.15,7051,363605.6,89
2017-01-17,52.15,51.35,52.5,51.35,52.35,3211,166395.25,34
2017-01-18,52.35,52.35,53.0,50.2,51.95,5732,298205.75,178
2017-01-19,51.95,52.5,56.0,49.25,54.15,24855,1329407.7,304
2017-01-20,54.15,55.05,55.95,51.9,52.25,3262,173384.85,62
2017-01-23,52.25,52.15,52.95,52.1,52.4,1194,62308.4,21
2017-01-24,52.4,54.0,57.0,51.6,51.95,12062,634448.25,169
2017-01-25,51.95,52.65,52.65,49.95,50.35,14135,718186.8,135
2017-01-27,50.35,51.0,51.9,49.0,51.1,11083,558593.6,298
2017-01-30,51.1,50.5,50.5,47.1,48.65,5476,268361.15,78
2017-01-31,48.65,48.8,50.0,48.0,49.9,3045,150148.25,50
2017-02-01,49.9,49.5,50.5,48.75,49.85,5102,253000.85,97
2017-02-02,49.85,49.0,50.55,48.8,49.15,5581,276396.4,70
2017-02-03,49.15,49.3,50.0,48.1,49.05,2849,140578.05,46
2017-02-06,49.05,48.95,51.9,46.0,50.25,16448,801663.75,165
2017-02-07,50.25,50.25,60.3,49.8,60.3,109915,6272019.45,1075
2017-02-08,60.3,64.1,72.35,64.1,71.9,482444,33588469.7,4637
