Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,82.2,82.9,83.2,77.05,79.5,41766,3327780.75,595
2017-01-03,79.5,79.95,83.0,79.3,80.65,44673,3631611.65,418
2017-01-04,80.65,81.45,81.45,77.4,78.7,80925,6390689.9,261
2017-01-05,78.7,78.75,93.2,78.7,89.95,759385,67902645.2,7036
2017-01-06,89.95,90.15,92.3,88.1,88.45,223326,20070965.85,3262
2017-01-09,88.45,86.2,89.9,85.2,86.45,36673,3223658.25,759
2017-01-10,86.45,86.05,87.8,85.1,86.45,28886,2500631.15,378
2017-01-11,86.45,86.15,103.7,86.15,103.7,539356,52983208.2,4037
2017-01-12,103.7,108.0,113.9,106.6,108.7,722311,79329490.8,7941
2017-01-13,108.7,107.45,109.0,99.7,104.55,193599,20152044.3,2282
2017-01-16,104.55,106.2,109.45,104.0,105.25,56224,6018573.0,982
2017-01-17,105.25,105.9,111.4,104.2,109.55,166650,18058893.35,1824
2017-01-18,109.55,114.0,115.8,109.05,114.1,429070,48361697.35,5757
2017-01-19,114.1,115.1,118.2,114.5,116.1,359576,41799758.15,4003
2017-01-20,116.1,115.7,115.95,108.05,109.35,98671,11041261.6,1360
2017-01-23,109.35,109.95,114.4,107.4,113.0,99479,11162765.3,1496
2017-01-24,113.0,114.05,114.1,108.9,110.25,43120,4796799.85,733
2017-01-25,110.25,110.95,111.3,107.8,108.3,76692,8354193.95,1141
2017-01-27,108.3,109.35,109.8,106.3,107.35,40626,4394875.4,540
2017-01-30,107.35,105.85,109.35,105.1,105.45,26833,2863217.85,436
2017-01-31,105.45,107.0,107.0,102.0,103.3,34256,3563084.85,581
2017-02-01,103.3,101.35,107.5,101.1,105.85,39864,4162119.9,908
2017-02-02,105.85,105.4,105.8,102.3,102.95,28673,2986558.15,612
2017-02-03,102.95,104.45,106.6,102.5,103.8,43127,4489728.85,581
2017-02-06,103.8,103.65,105.75,102.05,102.6,14903,1545496.95,357
2017-02-07,102.6,103.8,103.8,100.55,102.05,32765,3355364.2,340
2017-02-08,102.05,102.0,105.0,102.0,104.25,25930,2693913.75,360
2017-02-09,104.25,105.0,112.0,104.0,105.55,129254,13971817.55,2264
2017-02-10,105.55,105.05,106.5,102.5,102.9,38781,4053463.05,599
2017-02-13,102.9,103.0,108.0,102.0,103.8,59550,6226545.25,945
2017-02-14,103.8,103.1,107.5,102.5,106.45,38523,4047293.2,551
2017-02-15,106.45,107.1,109.9,106.2,108.85,103821,11186384.5,1071
2017-02-16,108.85,111.5,111.9,108.15,109.7,165399,18112703.05,2520
2017-02-17,109.7,108.1,110.35,107.0,108.3,56334,6139397.55,613
2017-02-20,108.3,107.7,109.9,107.0,109.05,18477,2006162.35,295
2017-02-21,109.05,108.5,109.0,108.0,108.8,15157,1642675.55,130
2017-02-22,108.8,109.75,109.75,106.15,108.05,29818,3223738.2,176
2017-02-23,108.05,106.0,109.0,106.0,107.05,21006,2266892.8,194
2017-02-27,107.05,107.0,107.0,103.9,104.15,59016,6191046.1,562
2017-02-28,104.15,105.9,106.45,98.0,98.55,85150,8505047.4,815
2017-03-01,98.55,98.35,100.0,97.25,97.75,35124,3453433.75,948
2017-03-02,97.75,100.0,100.0,95.2,96.15,48969,4788770.3,585
2017-03-03,96.15,95.05,96.5,94.0,95.1,35478,3365704.55,751
2017-03-06,95.1,94.55,97.75,94.0,94.2,19312,1828038.0,264
